etaxonomy_key,irn,SummaryData
474,199248,"Tugurium caribaeum"
475,585805,"Unio pectitus Conrad, 1854"
476,182702,"Guildingia obtecta (Pilsbry)"
477,182697,"Gonyodiscus shimeki cockerelli (Pilsbry)"
478,184078,"Axina zebuensis striatissima Pilsbry"
479,185240,"Chenaxis intercostata breviscostata Pilsbry"
480,186510,"Coccoglypte cavitecta Pilsbry & Hirase"
481,187991,"Eudolichotus bisuturalis bisuturalis agracilis Pilsbry"
482,187992,"Eudolichotus distortus panamensis Pilsbry"
483,188638,"Gonyodiscus cronkhitei anthonyi Pilsbry"
484,188639,"Gonyodiscus cronkhitei catskillensis Pilsbry"
485,189414,"Helicostylus (Orthostylus) palawanensis minimus Pilsbry"
486,192185,"Kuhiella nahaensis Pilsbry"
487,192550,"Limicularia festiva clara Pilsbry"
488,193148,"Neoptraeus caerulescens var. columna Pilsbry"
489,193263,"Olavilgata caringer var. latior Pilsbry"
490,193867,"Peleomphala herklotsi communis Pilsbry"
491,194136,"Pleurdonte otis orthorhimus Pilsbry"
492,194300,"Polygra andreewsae normalis Pilsbry"
493,194319,"Polygra pilula Pilsbry"
494,194328,"Polygrya martensiena Pilsbry"
495,154936,"Stenotrema exodon turbinella Clench & Archer"
496,154940,"Stenotrema fraternum montanum Archer"
497,154941,"Stenotrema labrosum fimbriatum Clapp"
498,154954,"Stenotrema unciferum caddoense (Archer)"
499,196344,"Tridopsis tridentata discoidea Pilsbry"
500,196673,"Vaginulus laevia schevelyae Pilsbry"
501,196674,"Vaginulus laevis schevelyae Pilsbry"
502,197058,"Xerophila brulardi Pilsbry"
503,197232,"Zonchoides cookei Pilsbry"
504,188584,"Glandina singleyana W.G. Binney"
505,207618,"Unio coccineus Conrad, 1836"
506,585411,"Unio ochmulgensis dominus 1914"
507,641975,"Alycaeus biexcisus Pilsbry"
508,197082,"Xerophila helicella berlieri Morelet"
509,196518,"Unio abacus Haldeman, 1842"
510,192587,"Lucidella aureola interrupta Simpson"
511,169494,"Medionidus walkeri (Wright, S.H., 1897)"
512,642973,"Japonia (Lagochilus) torquillus Suter"
513,586667,"Unio heros Say, 1829"
514,537531,"Conus marmoreus"
515,178782,"Helicella finitima (Morelet, 1876)"
516,152349,"Helicella berlieri (Morelet)"
517,152380,"Helicella conopsis (Morelet)"
518,152384,"Helicella cottyi (Morelet)"
519,152418,"Helicella doumeti lacosteana (Morelet)"
520,642249,"Cernuella margarita Pollonera"
521,162210,"Isomeria anestia Pilsbry, 1949"
522,162211,"Isomeria bituberculata merana Pilsbry"
523,162227,"Labyrinthus marmatensis Pilsbry, 1910"
524,162433,"Solaropsis johnsoni Pilsbry, 1933"
525,162506,"Zachrysia flavicoma Pilsbry, 1929"
526,162507,"Zachrysia gibarana Pilsbry, 1929"
527,194192,"Pleurodonte clappi Pilsbry"
528,585367,"Unio limatulus Conrad, 1849"
529,585264,"Unio (Elliptio) nigra maculata Rafinesque, 1820"
530,170064,"Planorbidella planispira (Warén & Bouchet, 1989)"
531,194372,"Polygyra appressa perigrapta Pilsbry"
532,194392,"Polygyra cereolus var. sanctijohnensis Pilsbry"
533,194393,"Polygyra cereolus var. sanjohnis Pilsbry"
534,194425,"Polygyra deserta indianorum Pilsbry"
535,194433,"Polygyra edvardsi magnififumosa Pilsbry"
536,117843,"Anodonta grandis lugubris (Say, 1829)"
537,642286,"Chlamys (Argopecten) circularis Sowerby, 1835"
538,642288,"Chlamys albolineata Sowerby, 1887"
539,642289,"Chlamys (Argopecten) irradians concentricus Say, 1822"
540,642290,"Chlamys funebris Reeve, 1853"
541,642291,"Chlamys gloriosa Reeve, 1852"
542,642292,"Chlamys jousseaumei Bavay, 1904"
543,647669,"Pisidium abditum zonatum"
544,152423,"Helicella elegans scitula (de Cristofori & Jan, 1832)"
545,178612,"Candidula hellenica (Blanc & Westerlund, 1879)"
546,178627,"Candidula spadae destituta (Calcara, 1845)"
547,183075,"Quadrula obliquata (Rafinesque, 1820)"
548,642166,"Campeloma obesus Lewis"
549,589709,"Anculosa tryoni"
550,172740,"Alcadia brownii palliata (C.B. Adams, 1849)"
551,642418,"Cyclophorus lingulatus Sowerby"
552,160355,"Helicina convexa"
553,195319,"Quadrula askewi (Marsh, 1896)"
554,172745,"Alcadia major (Gray, 1824)"
555,169643,"Villosa villosa (Wright, B.H., 1898)"
556,208706,"Strophitus undulatus winnebagoensis (F.C. Baker, 1928)"
557,157384,"Unio crassus bruguierianus Bourguignat, 1853"
558,210100,"Lampsilis iridella Pilsbry & Frierson, 1907"
